ID,FEN,1,2,3,4,5,6,7,side
00Bex,"1rb1qrk1/6bp/2np4/2pNpp2/2P5/3P1B2/1B3PPP/1R1QR1K1 b - - 0 22
",-5,0,3,1,-4,0,0,0
00Bp0,"1r2kr2/pp3p1p/2b1pn2/4N3/2P5/1N1B4/P3KP1P/6R1 b - - 4 21
",7,-2,-2,1,1,-3,-2,0
00CiZ,"5r1k/6b1/3p3p/1P1q2pQ/r5P1/3p1N1P/3R2P1/4R2K w - - 2 34
",-2,-4,-14,0,-2,0,2,1
00Cs4,"2r1q1k1/8/b2b1r1p/Pp1pNpp1/3Pn3/1RPQ3P/P1B1NPP1/4R1K1 w - - 3 28
",-4,1,-9,0,-2,2,3,1
00DBg,"rn2kbnr/pp6/2p2p2/4P3/4P1pq/2N3N1/PPPB2B1/R2Q1RK1 w kq - 1 17
",-4,3,3,0,0,3,9,1
00DdW,"5rk1/4bppp/4b3/1p1pPpPP/2pP4/2P5/rqNQKP2/2RRN3 b - - 5 23
",-9,1,-11,0,3,-1,2,0
00DkJ,"3r1bnr/2p2ppp/2b5/R1k5/5P2/2N5/4N1PP/1R4K1 b - - 3 21
",7,-2,-12,0,2,-4,2,0
00EDN,"rnbq1rk1/p4ppp/1p2p3/2p5/2QPn3/2P1PN2/P3BPPP/R1B2RK1 w - - 0 11
",-3,3,3,-1,0,0,6,1
00EXS,"r3r1k1/p2Q1p1p/1p2p1p1/8/1P1P4/P3P3/1B2Nb1q/2KR1R2 w - - 0 19
",0,5,-4,0,3,1,5,1
00Ea3,"3r4/p5k1/1p1qprnp/1Q1pN1p1/3P1pP1/1PP5/P5PP/4RRK1 b - - 3 29
",3,0,0,1,-4,0,-1,0
00Er4,"r3k2r/p1bN2pp/2p1pp2/3p3b/3P1q2/2N4P/PPPQ1PP1/R3R1K1 w kq - 0 16
",4,-1,-17,0,-2,0,3,1
